MDF_ASEdb_ID,graphFileName,bindingEnergy(eV)
1,Mo2C_101_1_O_0_19_1.graphml,-3.18220119
2,Mo2C_110_4_O_0_19_2.graphml,-3.11997326
5,Mo2C_011_8_O_0_31_5.graphml,-3.44186267
6,Mo2C_101_5_O_0_23_6.graphml,-2.21114032
7,Mo2C_110_2_O_0_18_7.graphml,-2.84911546
8,Mo2C_111_0_O_0_6_8.graphml,-5.14652306
9,Mo2C_101_4_O_0_23_9.graphml,-4.73895554
10,Mo2C_111_2_O_0_51_10.graphml,-3.26543347
11,Mo2C_101_0_O_0_6_11.graphml,-4.68980352
12,Mo2C_101_3_O_0_23_12.graphml,-2.12729033
13,Mo2C_111_9_O_0_43_13.graphml,-4.15011188
14,Mo2C_111_2_O_0_47_14.graphml,-2.86961528
15,Mo2C_101_9_O_0_26_15.graphml,-4.30775571
16,Mo2C_101_9_O_0_31_16.graphml,-4.72150545
17,Mo2C_111_0_O_0_34_17.graphml,-4.7458651
18,Mo2C_001_4_O_0_16_18.graphml,-4.69972838
19,Mo2C_011_7_O_0_8_19.graphml,-2.94345117
20,Mo2C_011_5_O_0_16_20.graphml,-3.60199626
21,Mo2C_101_5_O_0_0_21.graphml,-2.19330074
22,Mo2C_111_1_O_0_14_22.graphml,-2.84144532
23,Mo2C_011_8_O_0_4_23.graphml,-3.27544199
24,Mo2C_101_0_O_0_21_24.graphml,-2.20899664
25,Mo2C_111_9_O_0_13_25.graphml,-4.21258846
26,Mo2C_110_0_O_0_16_26.graphml,-3.53739502
27,Mo2C_011_3_O_0_8_27.graphml,-4.53730978
28,Mo2C_011_5_O_0_7_28.graphml,-3.60633552
29,Mo2C_101_1_O_0_45_29.graphml,-3.40211117
30,Mo2C_111_1_O_0_31_30.graphml,-3.25818227
31,Mo2C_110_5_O_0_5_31.graphml,-2.65718234
32,Mo2C_011_5_O_0_35_32.graphml,-3.606296
33,Mo2C_011_7_O_0_29_33.graphml,-2.73594251
34,Mo2C_101_3_O_0_29_34.graphml,-2.63255591
35,Mo2C_111_3_O_0_7_35.graphml,-3.09524857
36,Mo2C_111_3_O_0_20_36.graphml,-2.22996359
37,Mo2C_101_2_O_0_41_37.graphml,-3.4375157999999995
38,Mo2C_011_3_O_0_6_38.graphml,-3.35230006
39,Mo2C_011_5_O_0_31_39.graphml,-3.02238248
40,Mo2C_101_0_O_0_16_40.graphml,-2.21239913
41,Mo2C_001_0_O_0_6_41.graphml,-2.88401139
42,Mo2C_011_9_O_0_2_42.graphml,-4.04723385
43,Mo2C_011_7_O_0_10_43.graphml,-4.47475083
44,Mo2C_011_7_O_0_31_44.graphml,-3.00956706
45,Mo2C_101_2_O_0_18_45.graphml,-2.80714165
46,Mo2C_101_0_O_0_2_46.graphml,-2.45340676
47,Mo2C_111_7_O_0_28_47.graphml,-4.24677228
48,Mo2C_110_3_O_0_10_48.graphml,-3.1559671
49,Mo2C_110_0_O_0_10_49.graphml,-4.66063068
50,Mo2C_111_9_O_0_32_50.graphml,-3.35564511
51,Mo2C_011_6_O_0_36_51.graphml,-4.43175852
52,Mo2C_111_9_O_0_42_52.graphml,-4.15018068
53,Mo2C_101_8_O_0_18_53.graphml,-2.63224907
54,Mo2C_111_9_O_0_46_54.graphml,-3.46892925
55,Mo2C_011_1_O_0_31_55.graphml,-3.15090086
56,Mo2C_111_7_O_0_25_56.graphml,-4.10944976
57,Mo2C_111_4_O_0_7_57.graphml,-2.87708615
58,Mo2C_001_1_O_0_11_58.graphml,-2.55276299
59,Mo2C_111_6_O_0_6_59.graphml,-4.46784106
60,Mo2C_011_11_O_0_38_60.graphml,-4.82953718
61,Mo2C_010_3_O_0_10_61.graphml,-3.16300658
62,Mo2C_110_5_O_0_14_62.graphml,-4.60543225
63,Mo2C_111_4_O_0_37_63.graphml,-3.55107768
64,Mo2C_001_0_O_0_14_64.graphml,-2.33360304
