graphFileName,y_test,y_test_pred
Mo2C_101_5_Au_0_O_0_7_23535.graphml,-2.089,-2.2795234
Mo2C_100_2_Mn_0_O_0_23_10698.graphml,-4.607,-4.387057
Mo2C_101_7_Mn_1_O_0_11_16760.graphml,-3.19,-3.0553539
Mo2C_101_5_Ir_0_O_0_11_3788.graphml,-2.249,-2.21628
Mo2C_101_5_Ti_0_O_0_7_18230.graphml,-2.428,-1.8895174
Mo2C_100_5_Cd_3_O_0_13_24990.graphml,-4.6339999999999995,-4.5178156
Mo2C_100_3_Ru_0_O_0_20_10714.graphml,-2.998,-2.963867
Mo2C_110_0_Pd_1_O_0_2_21714.graphml,-4.025,-3.9980302
Mo2C_100_2_Ni_1_O_0_14_25535.graphml,-4.683,-4.7303066
Mo2C_100_4_Co_0_O_0_6_16854.graphml,-4.2330000000000005,-3.8923273
Mo2C_100_3_Tc_1_O_0_0_9137.graphml,-3.3810000000000002,-3.086693
Mo2C_110_1_Ru_1_O_0_7_16228.graphml,-4.418,-4.11559
Mo2C_011_0_Zn_0_O_0_2_11525.graphml,-2.347,-2.50536
Mo2C_001_3_Co_1_O_0_2_14870.graphml,-3.51,-3.4578025
Mo2C_100_2_Ta_3_O_0_17_10813.graphml,-5.0280000000000005,-5.0353246
Mo2C_001_4_Nb_1_O_0_0_23995.graphml,-4.063,-4.2055407
Mo2C_111_1_O_0_22_1041.graphml,-2.9210000000000003,-2.7578552
Mo2C_111_7_Ti_0_O_0_3_16976.graphml,-4.39,-4.562582
Mo2C_111_5_Cu_0_O_0_3_21477.graphml,-2.7939999999999996,-4.1432495
Mo2C_010_1_Re_0_O_0_4_22134.graphml,-2.513,-2.2908711
Mo2C_110_3_O_0_24_1551.graphml,-3.157,-1.739616
Mo2C_011_7_Zn_0_O_0_3_3752.graphml,-2.8930000000000002,-2.9337275
Mo2C_101_4_Pt_0_O_0_4_5461.graphml,-3.594,-3.523361
Mo2C_100_2_Ta_1_O_0_23_5290.graphml,-4.958,-4.8839374
Mo2C_101_0_V_0_O_0_5_24213.graphml,-4.771,-3.9208882
Mo2C_110_2_Cr_0_O_0_5_5685.graphml,-4.143,-4.2026534
Mo2C_001_3_Cu_0_O_0_5_16532.graphml,-2.87,-3.05617
Mo2C_101_4_Pd_0_O_0_1_4090.graphml,-3.6060000000000003,-3.5098405
Mo2C_100_5_Co_1_O_0_20_18694.graphml,-4.035,-4.2105284
Mo2C_100_5_Mn_3_O_0_2_2896.graphml,-3.5210000000000004,-3.373793
Mo2C_100_2_Ir_0_O_0_8_26131.graphml,-4.093999999999999,-3.8894997
Mo2C_100_1_Mn_0_O_0_0_5557.graphml,-4.825,-3.659983
Mo2C_111_3_O_0_40_79.graphml,-3.1439999999999997,-2.946261
Mo2C_110_2_Rh_1_O_0_7_2414.graphml,-4.138999999999999,-4.2881155
Mo2C_001_0_Ag_1_O_0_6_4119.graphml,-3.7230000000000003,-3.8456147
Mo2C_100_3_Ir_3_O_0_10_2629.graphml,-2.522,-2.4660418
Mo2C_111_7_Zn_0_O_0_4_17434.graphml,-3.968,-4.0087953
Mo2C_111_5_O_0_6_672.graphml,-2.734,-2.4062798
Mo2C_011_10_Tc_0_O_0_2_18787.graphml,-4.144,-4.2644014
Mo2C_010_2_Ta_0_O_0_7_13495.graphml,-4.084,-5.0435014
Mo2C_001_3_Ta_1_O_0_2_5579.graphml,-3.4389999999999996,-3.2326412
Mo2C_101_5_Re_0_O_0_7_7311.graphml,-2.4290000000000003,-2.6096306
Mo2C_100_5_Pt_0_O_0_18_549.graphml,-4.561,-4.4480457
Mo2C_101_9_Ni_0_O_0_7_17039.graphml,-4.276,-4.2538195
Mo2C_100_3_Tc_1_O_0_19_971.graphml,-3.515,-3.543922
Mo2C_011_2_O_0_7_333.graphml,-3.377,-3.3724792
Mo2C_111_3_W_0_O_0_2_5120.graphml,-3.162,-2.9157248
Mo2C_110_2_W_1_O_0_6_13124.graphml,-4.388,-4.198906
Mo2C_101_9_Ru_1_O_0_9_14835.graphml,-3.77,-3.6527512
Mo2C_100_4_Zn_0_O_0_9_21234.graphml,-2.544,-2.6944628
Mo2C_100_2_Ir_3_O_0_6_9128.graphml,-3.8560000000000003,-3.3927834
Mo2C_101_5_Ta_1_O_0_7_20497.graphml,-2.354,-2.0652764
Mo2C_111_1_Ni_0_O_0_3_4714.graphml,-5.01,-3.574656
Mo2C_100_4_Ag_0_O_0_4_13749.graphml,-3.665,-3.7302234
Mo2C_100_0_Ni_2_O_0_11_22114.graphml,-3.3160000000000003,-3.2605603
Mo2C_100_3_Ti_3_O_0_18_17498.graphml,-3.427,-3.4021761
Mo2C_010_3_Re_1_O_0_1_6295.graphml,-3.658,-3.5525265
Mo2C_100_2_W_3_O_0_3_12005.graphml,-3.823,-4.105503
Mo2C_101_7_Ag_0_O_0_4_16206.graphml,-3.6860000000000004,-3.5426667
Mo2C_100_4_Au_0_O_0_2_6287.graphml,-2.33,-2.6582632
Mo2C_011_4_Au_0_O_0_2_12257.graphml,-3.273,-3.1008878
Mo2C_101_9_Mn_0_O_0_8_22185.graphml,-4.247,-4.153496
Mo2C_101_4_Nb_1_O_0_0_8598.graphml,-5.047,-5.1261063
