graphFileName,y_train,y_train_pred
Mo2C_101_5_Ta_1_O_0_5_11215.graphml,-1.235,-1.3817616
Mo2C_100_5_Os_2_O_0_16_4364.graphml,-4.481,-4.7184353
Mo2C_100_5_Ag_3_O_0_10_8896.graphml,-4.988,-5.038846
Mo2C_101_4_Tc_1_O_0_6_16888.graphml,-3.569,-4.0630713
Mo2C_110_4_Tc_0_O_0_2_9616.graphml,-1.964,-2.021379
Mo2C_110_5_Co_0_O_0_7_19980.graphml,-4.033,-3.9932563
Mo2C_100_0_Fe_2_O_0_3_13778.graphml,-3.1180000000000003,-3.0702417
Mo2C_100_5_Re_1_O_0_23_24302.graphml,-4.242,-4.3541675
Mo2C_100_2_Ti_1_O_0_1_9339.graphml,-5.184,-5.202429
Mo2C_110_0_Nb_1_O_0_9_17649.graphml,-4.146,-4.343951
Mo2C_110_0_V_0_O_0_4_9949.graphml,-4.0089999999999995,-4.0972657
Mo2C_100_3_Cd_2_O_0_9_7406.graphml,-3.178,-2.9528039
Mo2C_001_0_Nb_1_O_0_6_13183.graphml,-3.23,-3.3026676
Mo2C_100_3_Ta_2_O_0_16_9933.graphml,-3.032,-3.201262
Mo2C_100_0_Re_3_O_0_15_25366.graphml,-3.141,-3.0144546
Mo2C_010_3_Ag_1_O_0_0_18305.graphml,-2.5380000000000003,-2.6012416
Mo2C_100_2_Nb_0_O_0_15_13811.graphml,-5.216,-4.976652
Mo2C_110_2_Os_1_O_0_7_9986.graphml,-4.056,-4.108447
Mo2C_100_2_Mn_3_O_0_18_20365.graphml,-3.859,-3.95196
Mo2C_100_3_Mn_0_O_0_21_19016.graphml,-3.555,-3.6135807
Mo2C_011_6_Os_0_O_0_1_16369.graphml,-4.516,-4.4435515
Mo2C_110_4_Rh_0_O_0_3_10378.graphml,-1.4909999999999999,-1.5815613
Mo2C_100_5_Tc_1_O_0_22_11019.graphml,-4.702,-4.649946
Mo2C_110_3_Cu_0_O_0_0_17402.graphml,-2.565,-2.8059185
Mo2C_100_2_Ru_1_O_0_23_9496.graphml,-3.9330000000000003,-4.3741302
Mo2C_001_2_V_0_O_0_2_13081.graphml,-4.848,-4.991407
Mo2C_100_3_Mn_0_O_0_4_14986.graphml,-3.2769999999999997,-3.079913
Mo2C_101_2_Os_1_O_0_11_9177.graphml,-3.388,-3.446491
Mo2C_111_7_O_0_8_180.graphml,-3.873,-4.0119343
Mo2C_111_4_O_0_19_331.graphml,-2.417,-2.5317469
Mo2C_111_8_Co_0_O_0_0_10620.graphml,-4.151,-3.634977
Mo2C_100_5_V_3_O_0_1_5052.graphml,-3.44,-3.5038025
Mo2C_001_1_V_0_O_0_11_257.graphml,-4.97,-4.8723545
