graphFileName,y_valid,y_valid_pred
Mo2C_101_1_O_0_19_1.graphml,-3.182,-4.0861683
Mo2C_011_8_O_0_31_5.graphml,-3.4419999999999997,-2.7582588
Mo2C_001_4_O_0_16_18.graphml,-4.7,-4.65039
Mo2C_011_5_O_0_7_28.graphml,-3.6060000000000003,-3.3564017
Mo2C_011_5_O_0_35_32.graphml,-3.6060000000000003,-3.227301
Mo2C_011_7_O_0_29_33.graphml,-2.736,-3.5592644
Mo2C_101_3_O_0_29_34.graphml,-2.633,-2.5189295
Mo2C_111_3_O_0_7_35.graphml,-3.095,-3.670923
Mo2C_011_7_O_0_31_44.graphml,-3.01,-2.6564689
Mo2C_111_9_O_0_42_52.graphml,-4.15,-3.8715177
Mo2C_101_8_O_0_18_53.graphml,-2.6319999999999997,-2.3081944
Mo2C_111_7_O_0_25_56.graphml,-4.109,-4.2215314
Mo2C_001_1_O_0_6_71.graphml,-4.703,-3.9298086
Mo2C_111_2_O_0_54_75.graphml,-1.59,-2.9783351
Mo2C_101_4_O_0_33_82.graphml,-3.568,-3.852718
Mo2C_011_0_O_0_23_84.graphml,-2.627,-3.0133502
Mo2C_011_1_O_0_23_85.graphml,-2.647,-2.3476522
Mo2C_111_4_O_0_2_90.graphml,-3.991,-3.421076
Mo2C_111_5_O_0_10_94.graphml,-2.109,-2.327366
Mo2C_101_0_O_0_0_96.graphml,-2.1919999999999997,-2.5477965
Mo2C_111_1_O_0_33_98.graphml,-2.9210000000000003,-2.144856
Mo2C_101_9_O_0_42_100.graphml,-4.744,-4.2664886
Mo2C_101_1_O_0_51_101.graphml,-2.745,-2.4278853
Mo2C_101_1_O_0_30_102.graphml,-3.3739999999999997,-3.6250854
Mo2C_100_3_O_0_6_104.graphml,-3.5439999999999996,-3.4412625
Mo2C_011_10_O_0_13_105.graphml,-2.517,-3.22413
Mo2C_111_0_O_0_50_106.graphml,-4.747,-3.9278622
Mo2C_001_3_O_0_1_107.graphml,-2.952,-2.3518336
Mo2C_011_8_O_0_2_115.graphml,-3.08,-2.9919708
Mo2C_010_1_O_0_16_117.graphml,-3.1630000000000003,-3.260919
Mo2C_111_3_O_0_42_119.graphml,-2.937,-3.4068916
Mo2C_001_5_O_0_3_123.graphml,-4.293,-4.4293866
Mo2C_011_2_O_0_20_126.graphml,-3.378,-3.8371618
Mo2C_111_2_O_0_4_127.graphml,-2.303,-3.7808313
Mo2C_101_1_O_0_49_128.graphml,-2.673,-2.5976598
Mo2C_010_3_O_0_4_133.graphml,-4.239,-4.0796757
Mo2C_111_2_O_0_2_136.graphml,-3.264,-3.6177137
Mo2C_101_7_O_0_24_137.graphml,-3.787,-3.7987142
Mo2C_111_2_O_0_21_141.graphml,-0.355,-3.2005737
Mo2C_101_4_O_0_29_142.graphml,-4.3,-3.520215
Mo2C_101_2_O_0_38_143.graphml,-2.7439999999999998,-2.5579476
Mo2C_101_9_O_0_36_146.graphml,-4.593,-4.7139153
Mo2C_110_1_O_0_14_148.graphml,-3.988,-4.4658337
Mo2C_011_9_O_0_30_152.graphml,-2.835,-2.7606802
Mo2C_011_1_O_0_36_157.graphml,-4.9430000000000005,-4.569025
Mo2C_101_2_O_0_17_163.graphml,-2.74,-2.631952
Mo2C_111_5_O_0_14_165.graphml,-2.408,-1.9450431
Mo2C_011_3_O_0_28_166.graphml,-2.9210000000000003,-2.6101377
Mo2C_011_11_O_0_30_168.graphml,-2.53,-2.4393835
Mo2C_101_3_O_0_8_174.graphml,-3.785,-3.6803007
Mo2C_111_0_O_0_17_177.graphml,-4.479,-4.3324766
Mo2C_011_1_O_0_17_201.graphml,-3.154,-3.7059994
Mo2C_101_2_O_0_35_205.graphml,-3.168,-3.091676
Mo2C_011_1_O_0_21_208.graphml,-4.938,-4.771429
Mo2C_011_11_O_0_21_211.graphml,-3.0239999999999996,-3.0091765
Mo2C_101_7_O_0_3_223.graphml,-3.438,-3.6371748
Mo2C_101_8_O_0_6_224.graphml,-4.566,-4.4167867
Mo2C_101_8_O_0_21_231.graphml,-4.253,-2.8470554
Mo2C_101_2_O_0_19_232.graphml,-3.787,-3.832863
Mo2C_111_5_O_0_29_250.graphml,-4.369,-3.938216
Mo2C_011_1_O_0_6_261.graphml,-4.04,-4.2756386
Mo2C_011_11_O_0_25_263.graphml,-3.0239999999999996,-3.0091069
Mo2C_111_0_O_0_44_270.graphml,-3.2,-3.3143265
Mo2C_001_0_O_0_5_272.graphml,-1.733,-2.7343528
Mo2C_011_10_O_0_26_280.graphml,-4.223,-4.4865294
Mo2C_010_0_O_0_2_291.graphml,-4.6080000000000005,-4.396855
Mo2C_011_2_O_0_36_295.graphml,-2.886,-3.153526
Mo2C_111_6_O_0_22_300.graphml,-4.789,-4.217938
Mo2C_111_9_O_0_15_304.graphml,-4.149,-3.8740044
Mo2C_111_9_O_0_9_309.graphml,-3.355,-3.1451862
Mo2C_001_1_O_0_2_318.graphml,-3.373,-3.2329385
Mo2C_110_3_O_0_5_319.graphml,-2.0340000000000003,-2.0997958
Mo2C_101_9_O_0_17_324.graphml,-4.31,-4.1796336
Mo2C_101_4_O_0_17_329.graphml,-4.309,-4.3671026
Mo2C_011_9_O_0_26_335.graphml,-3.158,-3.41044
Mo2C_101_2_O_0_8_338.graphml,-4.695,-4.3699207
Mo2C_111_5_O_0_3_340.graphml,-3.4,-3.4110072
Mo2C_011_10_O_0_0_342.graphml,-2.7439999999999998,-2.7498996
Mo2C_100_3_O_0_9_355.graphml,-3.5410000000000004,-3.3700778
Mo2C_111_9_O_0_20_362.graphml,-2.8710000000000004,-3.204936
Mo2C_101_4_O_0_4_370.graphml,-4.308,-3.7941086
Mo2C_011_10_O_0_2_371.graphml,-4.66,-4.3654556
Mo2C_011_0_O_0_42_375.graphml,-4.427,-4.600727
Mo2C_111_5_O_0_45_377.graphml,-2.569,-2.9455228
Mo2C_011_10_O_0_6_378.graphml,-3.8360000000000003,-3.9988492
Mo2C_111_0_O_0_25_379.graphml,-3.0,-3.0319266
Mo2C_111_2_O_0_55_381.graphml,-1.8,-3.0351703
Mo2C_101_0_O_0_9_386.graphml,-3.161,-3.4562485
Mo2C_101_3_O_0_28_391.graphml,-3.293,-3.1499403
